LEVEL1ID	LEVEL2ID	LEVEL3ID	LEVEL4ID	LEVEL5ID	Organization	Organization.fullname	AADD	IDlevel	LEV_0	ORG_0	LEV_1	ORG_1	LEV_2	ORG_2	LEV_3	ORG_3	LEV_4	ORG_4	pathString	I
0	0	0	0	0	Public Service	Public Service	PS		PS	Public Service	CRA	Canada Revenue Agency							CRA	1
1	0	0	0	0	Canada Revenue Agency	Canada Revenue Agency	CRA	1	PS	Public Service	CRA	Canada Revenue Agency							CRA	2
1	200	0	0	0	Branches	Branches	B	2	PS	Public Service	CRA	Canada Revenue Agency	B	Branches					CRA/B	3
1	200	300	0	0	Commissioner's Office - ... and Integration Branch	Commissioner's Office / Legal Services / Taxpayers' Ombudsman Office / Service, Innovation and Integration Branch	CO-.IB	3	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CO-.IB	Commissioner's Office / Legal Service...			CRA/B/CO-.IB	4
1	200	300	400	0	Commissioner's Office - ...ayers' Ombudsman Office	Commissioner's Office / Legal Services / Taxpayers' Ombudsman Office	CO-.OO	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CO-.IB	Commissioner's Office / Legal Service...	CO-.OO	Commissioner's Office / Legal Service...	CRA/B/CO-.IB/CO-.OO	5
1	200	300	401	0	Service, Innovation and Integration Branch	Service, Innovation and Integration Branch	SII	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CO-.IB	Commissioner's Office / Legal Service...	SII	Service, Innovation and Integration B...	CRA/B/CO-.IB/SII	6
1	200	300	401	500	Assistant Commisioner's ...vice Office Directorate	Assistant Commisioner's Office / Branch Management and Corporate Services Division / Chief Service Office Directorate	AC.OD	5	PS	Public Service									NA	7
1	200	300	401	501	Research and Innovation Lab Directorate	Research and Innovation Lab Directorate	RILD	5	PS	Public Service									NA	8
1	200	300	401	502	Information and Data Directorate	Information and Data Directorate	IDD	5	PS	Public Service									NA	9
1	200	300	401	503	Policy, Planning, Partne...d Reporting Directorate	Policy, Planning, Partnership and Reporting Directorate	PPPRD	5	PS	Public Service									NA	10
1	200	301	0	0	Appeals Branch	Appeals Branch	AB	3	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	AB	Appeals Branch			CRA/B/AB	11
1	200	301	402	0	Assistant Commissioner's...orate-Office Management	Assistant Commissioner's Office / Objections and Litigation Management Directorate/Office Management	ACM	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	AB	Appeals Branch	ACM	Assistant Commissioner's Office / Obj...	CRA/B/AB/ACM	12
1	200	301	403	0	Tax & Charities Appeals Directorate	Tax & Charities Appeals Directorate	T&CAD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	AB	Appeals Branch	T&CAD	Tax & Charities Appeals Directorate	CRA/B/AB/T&CAD	13
1	200	301	404	0	Relief, Redress, and Branch Services Directorate	Relief, Redress, and Branch Services Directorate	RRBSD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	AB	Appeals Branch	RRBSD	Relief, Redress, and Branch Services ...	CRA/B/AB/RRBSD	14
1	200	302	0	0	Assessment & Benefit Services Branch	Assessment & Benefit Services Branch	A&BSB	3	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	A&BSB	Assessment & Benefit Services Branch			CRA/B/A&BSB	15
1	200	302	405	0	Assistant Commissioner's...al Services Directorate	Assistant Commissioner's Office / Deputy Assistant Commissioner's Office / Digital Services Directorate	ACmmssr's...lSD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	A&BSB	Assessment & Benefit Services Branch	ACmmssr's...lSD	Assistant Commissioner's Office / Dep...	CRA/B/A&BSB/ACmmssr's...lSD	16
1	200	302	406	0	Business Returns Directorate	Business Returns Directorate	BRD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	A&BSB	Assessment & Benefit Services Branch	BRD	Business Returns Directorate	CRA/B/A&BSB/BRD	17
1	200	302	406	504	BRD Director General’s O...usiness Number Division	BRD Director General’s Office / Business Number Division	BDGOND	5	PS	Public Service									NA	18
1	200	302	406	505	GST and HST Returns & Rebates Processing Division	GST and HST Returns & Rebates Processing Division	GHR&RPD	5	PS	Public Service									NA	19
1	200	302	406	506	Corporation & Specialty Returns Division	Corporation & Specialty Returns Division	C&SRD	5	PS	Public Service									NA	20
1	200	302	406	507	Business Accounting Divi...cts & Services Division	Business Accounting Division / Business Projects & Services Division	BAD&SD	5	PS	Public Service									NA	21
1	200	302	407	0	Call Centre Services Directorate	Call Centre Services Directorate	CCSD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	A&BSB	Assessment & Benefit Services Branch	CCSD	Call Centre Services Directorate	CRA/B/A&BSB/CCSD	22
1	200	302	407	508	T1 & Benefits Call Centr...rector General’s Office	T1 & Benefits Call Centre Support Division / Call Centre Strategic Planning and Operations Division / Director General’s Office	T&BCCGO	5	PS	Public Service									NA	23
1	200	302	407	509	Business Call Centre Support Division	Business Call Centre Support Division	BCCSD	5	PS	Public Service									NA	24
1	200	302	408	0	Major Projects and System Integration Directorate	Major Projects and System Integration Directorate	MPSID	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	A&BSB	Assessment & Benefit Services Branch	MPSID	Major Projects and System Integration...	CRA/B/A&BSB/MPSID	25
1	200	302	408	510	T3 Modernization Divisio...vision-Special Projects	T3 Modernization Division / DGO / Projects Oversight & System Development Division / Processing Systems Renewal Division/Special Projects	TMDP	5	PS	Public Service									NA	26
1	200	302	408	511	Testing & Release Management Division	Testing & Release Management Division	T&RMD	5	PS	Public Service									NA	27
1	200	302	409	0	Individual Returns Directorate	Individual Returns Directorate	IRD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	A&BSB	Assessment & Benefit Services Branch	IRD	Individual Returns Directorate	CRA/B/A&BSB/IRD	28
1	200	302	409	512	Stakeholder Relations Di...orate Reporting Section	Stakeholder Relations Division / Common Tools & Support Division / DGO / Issues Management & Corporate Reporting Section	SRDRS	5	PS	Public Service									NA	29
1	200	302	409	513	T1 Processing Division	T1 Processing Division	T1PD	5	PS	Public Service									NA	30
1	200	302	409	514	Third Party Reporting  Division	Third Party Reporting  Division	TPRD	5	PS	Public Service									NA	31
1	200	302	410	0	Benefit Programs Directorate	Benefit Programs Directorate	BPD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	A&BSB	Assessment & Benefit Services Branch	BPD	Benefit Programs Directorate	CRA/B/A&BSB/BPD	32
1	200	302	410	515	Benefit Partnerships & S...ritorial Partner. Sect.	Benefit Partnerships & Services Division / Benefit Processing Division / DGO / Provincial & Territorial Partner. Sect.	BP&SPS	5	PS	Public Service									NA	33
1	200	302	410	516	Community Outreach, and ...pport Services Division	Community Outreach, and Support Division / Business Intelligence and Support Services Division	CO.SD	5	PS	Public Service									NA	34
1	200	302	411	0	Horizontal Integration Directorate	Horizontal Integration Directorate	HID	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	A&BSB	Assessment & Benefit Services Branch	HID	Horizontal Integration Directorate	CRA/B/A&BSB/HID	35
1	200	302	411	517	Correspondence and Repor...ranch Services Division	Correspondence and Reporting Division / DGO / Branch Services Division	CRSD	5	PS	Public Service									NA	36
1	200	302	411	518	Horizontal Programs Division	Horizontal Programs Division	HPD	5	PS	Public Service									NA	37
1	200	302	411	519	Information Programs Division	Information Programs Division	IPD	5	PS	Public Service									NA	38
1	200	303	0	0	Audit, Evaluation, and Risk Branch	Audit, Evaluation, and Risk Branch	AERB	3	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	AERB	Audit, Evaluation, and Risk Branch			CRA/B/AERB	39
1	200	304	0	0	Collections & Verification Branch	Collections & Verification Branch	C&VB	3	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	C&VB	Collections & Verification Branch			CRA/B/C&VB	40
1	200	304	412	0	ACO-DAC-Branch Managemen...Transformation Division	ACO-DAC/Branch Management Services Division/Horizontal Programs & Transformation Division	ACMD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	C&VB	Collections & Verification Branch	ACMD	ACO-DAC/Branch Management Services Di...	CRA/B/C&VB/ACMD	41
1	200	304	413	0	Business Compliance Directorate	Business Compliance Directorate	BCD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	C&VB	Collections & Verification Branch	BCD	Business Compliance Directorate	CRA/B/C&VB/BCD	42
1	200	304	413	520	Director General’s Offic...yer Compliance Division	Director General’s Office / Employer Compliance Division	DGOCD	5	PS	Public Service									NA	43
1	200	304	413	521	Resource Management and Reporting Division	Resource Management and Reporting Division	RMRD	5	PS	Public Service									NA	44
1	200	304	413	522	Corporation and GST-HST ...ic Initiatives Division	Corporation and GST/HST Compliance Division / Innovation and Strategic Initiatives Division	CG.ID	5	PS	Public Service									NA	45
1	200	304	414	0	Individual Compliance Directorate	Individual Compliance Directorate	ICD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	C&VB	Collections & Verification Branch	ICD	Individual Compliance Directorate	CRA/B/C&VB/ICD	46
1	200	304	414	523	Director General’s Offic...nt Withholding Division	Director General’s Office / Individual Program Support Division / Matching and Non-Resident Withholding Division	DGOWD	5	PS	Public Service									NA	47
1	200	304	414	524	Non-Filer Division	Non-Filer Division	N-D	5	PS	Public Service									NA	48
1	200	304	414	525	Assessment Verification Division	Assessment Verification Division	AVD	5	PS	Public Service									NA	49
1	200	304	415	0	Technology & Business Intelligence Directorate	Technology & Business Intelligence Directorate	T&BI	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	C&VB	Collections & Verification Branch	T&BI	Technology & Business Intelligence Di...	CRA/B/C&VB/T&BI	50
1	200	304	415	526	Director General’s Offic...gement Systems Division	Director General’s Office / Business Operations Solutions Division / Debt Management Systems Division	DGrl’sOffcgSD	5	PS	Public Service									NA	51
1	200	304	415	527	Workload Management Project Division	Workload Management Project Division	WMPD	5	PS	Public Service									NA	52
1	200	304	415	528	Business Intelligence, R...ch & Analytics Division	Business Intelligence, Research & Analytics Division	BIR&AD	5	PS	Public Service									NA	53
1	200	304	416	0	Collections Directorate	Collections Directorate	CD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	C&VB	Collections & Verification Branch	CD	Collections Directorate	CRA/B/C&VB/CD	54
1	200	304	416	529	Director General’s Offic...porate Services Section	Director General’s Office / Initial Intervention & Resolution Division/Issues Management & Corporate Services Section	DGOSS	5	PS	Public Service									NA	55
1	200	304	416	530	Resource Allocation & Monitoring Division	Resource Allocation & Monitoring Division	RA&MD	5	PS	Public Service									NA	56
1	200	304	416	531	Transformation & Innovation Division	Transformation & Innovation Division	T&ID	5	PS	Public Service									NA	57
1	200	304	416	532	Collections Enforcement Division	Collections Enforcement Division	CED	5	PS	Public Service									NA	58
1	200	305	0	0	Compliance Programs Branch	Compliance Programs Branch	CPB	3	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CPB	Compliance Programs Branch			CRA/B/CPB	59
1	200	305	417	0	Assistant Commissioner’s...t Compliance Operations	"Assistant Commissioner’s Office /
Scientific Research & Experimental Development Directorate/ Issues management and corporate review section/ High Impact Compliance Operations"	ACCO	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CPB	Compliance Programs Branch	ACCO	"Assistant Commissioner’s Office /
Sc..."	CRA/B/CPB/ACCO	60
1	200	305	418	0	Small & Medium Enterprises Directorate	Small & Medium Enterprises Directorate	S&MED	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CPB	Compliance Programs Branch	S&MED	Small & Medium Enterprises Directorate	CRA/B/CPB/S&MED	61
1	200	305	418	533	Director General’s Offic...iance Services Division	Director General’s Office / Small Business Audit & Non Resident Division / Compliance Services Division	DGrl’sOffcnSD	5	PS	Public Service									NA	62
1	200	305	418	534	Medium Business Audit Di...s Intelligence Division	Medium Business Audit Division / Business Intelligence Division	MBADID	5	PS	Public Service									NA	63
1	200	305	419	0	GST-HST Directorate	GST/HST Directorate	GD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CPB	Compliance Programs Branch	GD	GST/HST Directorate	CRA/B/CPB/GD	64
1	200	305	419	535	Director General’s Offic...dit Specialist Division	Director General’s Office / Aggressive GST/HST Planning & Refund Integrity Divisions / Leads and Voluntary Disclosures Division / Computer Audit Specialist Division	DGrl’sOffcdSD	5	PS	Public Service									NA	65
1	200	305	419	536	Large Business Audit - S...Business Audit Division	Large Business Audit / Small & Medium Business Audit Division	LBA-SAD	5	PS	Public Service									NA	66
1	200	305	420	0	Criminal Investigations Directorate	Criminal Investigations Directorate	CID	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CPB	Compliance Programs Branch	CID	Criminal Investigations Directorate	CRA/B/CPB/CID	67
1	200	305	421	0	International & Large Business Directorate	International & Large Business Directorate	I&LBD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CPB	Compliance Programs Branch	I&LBD	International & Large Business Direct...	CRA/B/CPB/I&LBD	68
1	200	305	421	537	Director General's Offic... Tax Avoidance Division	Director General's Office / Business Management Division / Integrated Risk Assessment Tools Division / Tax Avoidance Division	DGOTAD	5	PS	Public Service									NA	69
1	200	305	421	538	Large Business Audit Div...ority Services Division	Large Business Audit Division/ Competent Authority Services Division	LBADSD	5	PS	Public Service									NA	70
1	200	305	421	539	International Tax Division	International Tax Division	ITD	5	PS	Public Service									NA	71
1	200	305	422	0	Compliance Services Directorate	Compliance Services Directorate	CSD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CPB	Compliance Programs Branch	CSD	Compliance Services Directorate	CRA/B/CPB/CSD	72
1	200	305	422	540	Director General’s offic...orate Reporting Section	Director General’s office / Branch Services Division / Executive Strategic Advisor / Corporate Reporting Section	DGRS	5	PS	Public Service									NA	73
1	200	305	422	541	Business Intelligence & ...sion - Special Projects	Business Intelligence & Data Division / Systems Development & Management Division / Special Projects	BI&.-SP	5	PS	Public Service									NA	74
1	200	305	423	0	High Net Worth Compliance Directorate (HNWCD)	High Net Worth Compliance Directorate (HNWCD)	HNWCD	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	CPB	Compliance Programs Branch	HNWCD	High Net Worth Compliance Directorate...	CRA/B/CPB/HNWCD	75
1	200	305	423	542	Director General’s offic...ad Development Division	Director General’s office / Audit Division / Workload Development Division	DGDD	5	PS	Public Service									NA	76
1	200	305	423	543	Data and Tools Division ... Audit Support Division	Data and Tools Division / Business Management Division / Specialized Audit Support Division	DTD.ASD	5	PS	Public Service									NA	77
1	200	306	0	0	Finance & Administration Branch	Finance & Administration Branch	F&AB	3	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	F&AB	Finance & Administration Branch			CRA/B/F&AB	78
1	200	306	424	0	Assistant Commissioner's...ce Enhancement Division	Assistant Commissioner's Office / Corporate and Management Services Division / Service Enhancement Division	ACED	4	PS	Public Service	CRA	Canada Revenue Agency	B	Branches	F&AB	Finance & Administration Branch	ACED	Assistant Commissioner's Office / Cor...	CRA/B/F&AB/ACED	79
