LEVEL1ID	LEVEL2ID	LEVEL3ID	LEVEL4ID	LEVEL5ID	SURVEYR	QUESTION	ANSWER1	ANSWER2	ANSWER3	ANSWER4	ANSWER5	SCORE100	ANSCOUNT
0	0	0	0	0	2011	Q06	21	37	16	14	11	61	200784
0	0	0	0	0	2014	Q06	21	35	17	15	11	60	181788
0	0	0	0	0	2017	Q06	25	35	16	13	10	63	174142
0	0	0	0	0	2018	Q06	26	34	17	13	10	63	161141
1	0	0	0	0	2011	Q06	19	39	17	15	10	61	31988
1	0	0	0	0	2014	Q06	21	37	18	14	10	61	32124
1	0	0	0	0	2017	Q06	23	37	17	13	9	64	29187
1	0	0	0	0	2018	Q06	25	36	18	12	9	64	27852
2	0	0	0	0	2011	Q06	19	36	17	16	12	59	17148
2	0	0	0	0	2014	Q06	19	35	19	16	11	59	15353
2	0	0	0	0	2017	Q06	25	36	16	13	9	64	15839
2	0	0	0	0	2018	Q06	26	35	17	12	9	64	14675
2	200	0	0	0	2018	Q06	33	36	15	9	7	70	4141
2	200	300	0	0	2018	Q06	45	45	0	10	0	81	19
2	200	301	0	0	2018	Q06	32	41	13	9	5	72	432
2	200	301	400	0	2018	Q06	37	43	14	3	2	78	124
2	200	301	401	0	2018	Q06	33	40	7	14	7	69	43
2	200	301	402	0	2018	Q06	32	40	16	7	5	72	138
2	200	301	403	0	2018	Q06	28	42	9	16	4	68	72
2	200	301	404	0	2018	Q06	31	36	17	10	7	68	30
2	200	302	0	0	2018	Q06	45	28	15	6	6	75	68
2	200	302	405	0	2018	Q06	42	28	15	6	10	72	33
2	200	302	406	0	2018	Q06	51	30	11	4	4	80	27
2	200	303	0	0	2018	Q06	32	38	15	8	5	71	531
2	200	303	407	0	2018	Q06	28	35	20	10	5	68	205
2	200	303	408	0	2018	Q06	30	40	9	8	11	68	83
2	200	303	409	0	2018	Q06	34	42	13	6	3	75	145
2	200	303	410	0	2018	Q06	44	31	13	8	4	76	52
2	200	304	0	0	2018	Q06	31	32	15	11	11	66	313
2	200	304	411	0	2018	Q06	38	36	12	5	10	72	61
2	200	304	412	0	2018	Q06	38	31	16	5	10	71	29
2	200	304	413	0	2018	Q06	26	28	17	17	12	60	127
2	200	304	414	0	2018	Q06	32	46	16	0	6	74	31
2	200	304	415	0	2018	Q06	47	37	5	5	5	79	37
2	200	305	0	0	2018	Q06	32	37	15	9	6	70	910
2	200	305	416	0	2018	Q06	30	44	12	5	8	71	50
2	200	305	417	0	2018	Q06	31	34	11	9	13	66	79
2	200	305	418	0	2018	Q06	30	41	16	7	5	71	272
2	200	305	419	0	2018	Q06	32	32	19	11	5	69	240
2	200	305	420	0	2018	Q06	35	38	12	10	4	73	151
2	200	305	421	0	2018	Q06	26	43	13	11	5	69	38
2	200	306	0	0	2018	Q06	40	36	9	7	7	73	28
2	200	307	0	0	2018	Q06	32	45	12	6	6	73	17
2	200	308	0	0	2018	Q06	41	30	12	8	9	71	199
2	200	308	424	0	2018	Q06	41	26	15	11	7	71	54
2	200	308	425	0	2018	Q06	54	34	9	0	3	84	31
2	200	308	426	0	2018	Q06	39	29	12	7	12	69	105
2	200	309	0	0	2018	Q06	38	38	10	11	2	75	120
2	200	309	427	0	2018	Q06	26	40	17	13	4	68	23
2	200	309	428	0	2018	Q06	34	42	10	10	4	73	27
2	200	309	429	0	2018	Q06	39	38	10	11	0	77	48
2	200	310	0	0	2018	Q06	19	46	13	18	3	65	31
2	200	311	0	0	2018	Q06	31	37	14	10	8	69	427
2	200	311	430	0	2018	Q06	41	31	21	3	4	75	67
2	200	311	431	0	2018	Q06	23	31	24	12	10	61	28
2	200	311	432	0	2018	Q06	29	32	17	9	12	65	78
2	200	311	433	0	2018	Q06	32	35	13	15	6	68	55
2	200	311	434	0	2018	Q06	23	43	10	13	11	63	94
2	200	311	435	0	2018	Q06	35	40	5	10	10	70	40
2	200	311	436	0	2018	Q06	50	32	12	6	0	82	16
2	200	311	437	0	2018	Q06	37	50	9	5	0	80	22
2	200	312	0	0	2018	Q06	39	33	14	8	6	73	236
2	200	312	438	0	2018	Q06	31	39	23	4	4	72	26
2	200	312	439	0	2018	Q06	28	57	5	0	10	73	21
2	200	312	440	0	2018	Q06	42	33	8	17	0	75	36
2	200	312	441	0	2018	Q06	51	19	23	0	8	76	39
2	200	312	442	0	2018	Q06	32	32	19	14	3	69	36
2	200	312	443	0	2018	Q06	51	29	0	7	10	77	29
2	200	312	444	0	2018	Q06	33	34	18	7	7	70	27
2	200	313	0	0	2018	Q06	32	33	16	12	6	69	288
2	201	0	0	0	2018	Q06	22	35	19	14	10	61	8665
2	201	314	0	0	2018	Q06	43	20	16	12	8	69	25
2	201	315	0	0	2018	Q06	26	37	17	13	6	66	941
2	201	315	446	0	2018	Q06	15	58	15	12	0	69	40
2	201	315	447	0	2018	Q06	25	36	18	14	7	65	522
2	201	315	447	500	2018	Q06	20	33	24	21	3	62	77
2	201	315	447	501	2018	Q06	28	23	29	3	17	60	37
2	201	315	447	502	2018	Q06	30	28	20	14	6	66	46
2	201	315	447	503	2018	Q06	42	36	14	6	2	77	50
2	201	315	447	504	2018	Q06	22	37	16	15	10	62	97
2	201	315	447	505	2018	Q06	22	48	10	19	2	67	51
2	201	315	447	506	2018	Q06	26	34	15	15	10	63	41
2	201	315	447	507	2018	Q06	24	34	21	13	6	65	57
2	201	315	447	508	2018	Q06	24	54	9	6	7	70	33
2	201	315	447	509	2018	Q06	19	43	24	6	7	65	16
2	201	315	448	0	2018	Q06	27	41	12	12	8	66	214
2	201	315	448	510	2018	Q06	27	47	6	10	11	67	71
2	201	315	448	511	2018	Q06	26	36	19	12	7	66	109
2	201	315	448	512	2018	Q06	22	49	6	11	12	64	17
2	201	315	449	0	2018	Q06	31	35	16	14	4	69	136
2	201	315	449	513	2018	Q06	35	27	15	17	6	67	63
2	201	315	449	514	2018	Q06	29	35	23	12	2	69	52
2	201	315	449	515	2018	Q06	30	53	9	9	0	76	12
2	201	316	0	0	2018	Q06	19	32	17	16	15	56	1865
2	201	316	451	0	2018	Q06	38	36	8	8	10	71	73
2	201	316	452	0	2018	Q06	16	31	21	19	12	55	205
2	201	316	453	0	2018	Q06	19	33	17	18	12	57	459
2	201	316	453	516	2018	Q06	16	33	14	21	15	54	140
2	201	316	453	517	2018	Q06	19	25	25	14	16	54	43
